Title,Date,Import,Export
Medium and heavy trucks, buses, and other motor vehicles,May 2025,1232,510.1
Medium and heavy trucks, buses, and other motor vehicles,June 2025,1327.5,555.7
Medium and heavy trucks, buses, and other motor vehicles,July 2025,1387.4,554.8
Medium and heavy trucks, buses, and other motor vehicles,August 2025,1235.3,515.2
Tires; motor vehicle engines and motor vehicle parts,January 2024,4224.3,2454.1
Tires; motor vehicle engines and motor vehicle parts,February 2024,4308.7,2531
Tires; motor vehicle engines and motor vehicle parts,March 2024,4339.1,2458.2
Tires; motor vehicle engines and motor vehicle parts,April 2024,4240.9,2572.8
Tires; motor vehicle engines and motor vehicle parts,May 2024,4201.4,2485
Tires; motor vehicle engines and motor vehicle parts,June 2024,4270.2,2484.9
Tires; motor vehicle engines and motor vehicle parts,July 2024,4145,2285.5
Tires; motor vehicle engines and motor vehicle parts,August 2024,4082.1,2414.6
Tires; motor vehicle engines and motor vehicle parts,September 2024,4249.5,2443.7
Tires; motor vehicle engines and motor vehicle parts,October 2024,4321.9,2395.6
Tires; motor vehicle engines and motor vehicle parts,November 2024,4163.6,2312.5
Tires; motor vehicle engines and motor vehicle parts,December 2024,4323.6,2259.8
Tires; motor vehicle engines and motor vehicle parts,January 2025,4518.1,2315.1
Tires; motor vehicle engines and motor vehicle parts,February 2025,4457.4,2463.1
Tires; motor vehicle engines and motor vehicle parts,March 2025,4377,2476.3
Tires; motor vehicle engines and motor vehicle parts,April 2025,4167.8,2415.7
Tires; motor vehicle engines and motor vehicle parts,May 2025,4195.5,2498.7
Tires; motor vehicle engines and motor vehicle parts,June 2025,3965.5,2534.9
Tires; motor vehicle engines and motor vehicle parts,July 2025,4205.1,2560
Tires; motor vehicle engines and motor vehicle parts,August 2025,4118,2480.3
