Oman (formerly Muscat and Oman),151649128,143315906,86473992,162306917,106488681,96225185,68401908,89910252,119857302,119887433
Turkmenistan,6711585,6582433,29776163,18484728,3138902,5174819,5209077,1931840,8499671,116279960
Lithuania,51597635,50136474,74196111,95102096,97010821,87420361,147545213,168854181,178089466,112573289
Kenya,89828526,98523110,164621205,134431407,161160426,100163139,90501503,116680737,105690087,106840038
Hungary,93038722,74645790,69798258,91871690,89921405,62273417,105250580,99326254,105479519,106620120
Libya,28969801,17108975,19944401,42968240,89182178,51563140,73024023,77407599,132832178,105156815
Côte-d'Ivoire,66789504,66045697,36671364,42478538,54933997,64348696,80830562,94016163,131078174,104192781
Cameroon,71895843,54401366,39968032,58880503,54746326,76858373,84445112,56426264,99213013,102340972
Iraq,180110135,127297910,72853481,199107500,146585231,87965156,135657922,189729040,371485748,101665920
Georgia,15443322,22478167,41939815,24935152,25705432,31257354,38838123,45079786,79407105,100808212
Haiti,47545155,56480137,68009058,58224290,46210666,81084432,62862672,91820813,129997916,97244527
Cayman Islands,9383296,11582323,23755617,23323999,28299757,84692766,45488511,19885508,21830541,94427163
Senegal,33705436,38772381,47398254,56516609,75717967,102359728,178411458,90363750,110696106,93242823
Uruguay,75120626,150131299,95499165,93226508,79313956,65357649,89541610,174077289,134088992,91537702
Albania,36269958,15869937,24180632,39220047,54320375,48654293,74101577,51178584,82830745,84957332
Angola,69323179,52434171,79912961,65159844,58951010,142073209,64963461,122914887,56546052,83852995
Luxembourg,203560521,134181474,110597243,66262501,97049988,118874258,142200855,56490888,82943385,78226494
Slovenia,25222499,55852207,75385863,82108337,94190873,104154732,71126134,118801142,84370034,72521474
Lebanon,112729790,149548912,124696184,115794725,118043660,70300805,115570684,170394032,72280281,69404826
Nicaragua,43816051,30965867,40672847,27531672,34978597,51382029,53716291,86368325,101762069,67583365
Tanzania,49538009,84018084,57333227,112501917,126286989,36248250,193437138,54306384,66174678,66626702
U.S. Minor Outlying Islands,14512808,11402882,10023957,10414532,8775575,8901496,55553075,70053813,69622359,65882804
Togo,18103635,16742096,14054446,24365300,27195202,29986286,49902824,52332124,83617513,64932773
Mozambique,44425036,45292138,43658008,44466925,59313250,86660111,39869897,58887101,104102099,63921465
Guinea,13682317,14608294,13208472,21357041,26422967,23301860,33596137,29150517,39087248,62369071
Namibia,7801795,8424875,2332804,14754667,10586787,6712188,9358155,8846476,10629254,58458162
Honduras,38610327,37045517,42712219,51996619,32519222,36768925,54088093,46131947,58299520,57924502
Tunisia,121164033,99579592,54303427,40628636,88443489,153241964,107559635,142164268,162161406,55084572
Nepal,22251269,9813547,14630035,105892821,123201227,144555959,61860293,38366728,15545015,53547434
Russia,598315092,597933807,659101443,561080156,656605902,617923247,619669550,209104572,48476393,51084765
Iceland,85410292,75434869,77472915,196281763,75531652,67267724,89762112,86906026,53032469,49026296
Barbados,67566502,38753014,33074196,33540086,36414143,45312135,45197619,43548719,43915889,47386193
Serbia,16989398,14429528,16189443,21533557,23024833,28980493,27860513,23903119,28672514,46829872
Fiji,24259284,11418745,12667261,29213229,26845891,4327990,3304834,8369561,18180457,46182789
Saint Pierre-Miquelon,28832891,33877812,25526528,13009060,13797207,17596010,34248827,36768825,29807488,45967970
Gibraltar,306775,283547,74582435,150813,898437,361383,262037,222540,403994,45740296
Guyana,24554172,35764464,26290999,28287089,33269110,26468436,35927092,49574745,55154942,43664082
Burkina Faso,35361085,48281570,58250246,46711994,57328365,51329704,50132139,41156884,33911027,40857130
Benin,34684045,18652462,25805608,31308856,33341815,24567173,35081778,31004291,52988865,40126331
Mauritania,6966414,14060641,20493132,21492743,18724811,28631619,23901195,22539747,30652887,38453853
Slovakia,23324607,42262095,30549826,35037890,40095119,34778497,44753199,50679907,45965904,37828356
Uganda,23312335,25402773,22327817,22882928,169359777,26441221,30537809,25451875,33229673,36771830
Greenland,18091405,17612268,20966266,23904936,10131068,7160175,13116436,36216759,24786334,36483119
Cambodia (Kampuchea),26358587,41220579,51406767,78362862,73212630,31408943,38446101,33193700,36590526,33472039
Estonia,22989391,20194514,23669089,25524758,31707829,25507267,23305041,28662975,38343539,32609693
Ethiopia,28110853,72972016,79391997,115920946,135734005,153555532,81220070,84997302,21573886,32411104
Suriname,84063879,31194353,29255704,28267992,28925804,22459008,23681775,27177075,29544088,30449655
Paraguay,19727467,16612259,24539814,27723145,16952173,14694630,20891703,24379474,26134425,30368133
Maldives,19120641,18449426,32076891,20222589,19522573,11081433,27793792,16559941,29959759,27494963
Mongolia,8712043,10008014,27303830,27804579,44833484,18458006,14407269,14042693,30685864,26648620
Zambia (Zambi),40370048,18009806,18731443,21869688,23219790,10307481,10447931,20115163,39268278,23125928
Macau (Macao),58432731,23135145,30570674,52767288,74498185,55648678,57081865,48174272,32268209,22999259
Mali,20417998,28506425,26189982,20596628,26472442,36039712,50048494,23965481,29486556,21882644
Congo (formerly Zaire),26801558,15775692,13363389,14402801,20364033,21042632,17496699,20649505,22373203,20688955
Gabon,21803720,11119513,9703432,14680535,20050337,17301611,15824539,53059306,27103575,20284833
Liberia,10187441,13207732,3915633,5977697,3136644,5104162,24067665,12262054,26838176,19830104
Papua New Guinea,16842305,10905136,8957479,25280842,15028505,12641446,5264243,7464178,20347537,19035304
Curacao,15818553,18934433,13412421,14386647,12275832,12780195,79668805,10166922,11119556,18946078
Uzbekistan,13995763,4290381,7381108,6341616,10178053,10809937,6702375,8282998,17711351,18541831
Congo (formerly Brazzaville),28079937,38306601,20096202,16344090,22881307,12535947,20559695,13379651,24974986,17925928
Bolivia,27004586,25104017,53758232,25872841,25503940,14157557,12794734,21644449,19384647,17887750
Armenia,12624873,6002656,9303618,10420331,12034203,8434576,10844057,23863993,14732961,17231906
Saint Lucia,9431063,9555654,8118307,7777314,8248551,11453257,11403581,14172235,13381781,17070719
Sierra Leone,8346137,6703646,7248088,8546253,8870819,8203492,9714041,9235544,13162328,16400555
Laos,5784427,11462250,6116644,3423708,2835906,2541252,8227558,4120425,18266130,15033014
Turks and Caicos Islands,3596287,3521519,5387248,4102000,4086331,3314970,5732152,8659669,9042439,14512939
Myanmar (Burma),20965217,38261343,39676695,32490791,52036290,53216546,35305980,7350965,9442374,12685313
Kyrgyzstan,14779715,14236165,10152123,11111212,12410079,9231639,8560577,17596013,18562645,12660275
French Polynesia,9944091,8777733,10866862,12665646,11869189,9181772,11674757,10130644,11075252,12591505
Cyprus,7958656,17788719,13508294,13885655,10829263,11288692,10213973,14273029,104437771,11331255
Belize,9953895,10363834,15371195,10365254,9769831,5733945,6102134,76079924,11261306,10935378
North Macedonia,5668772,3541401,4147837,6080101,10677972,5265717,3954482,3233695,9830870,10715275
Mauritius,8993494,7682681,6105057,11136975,8824530,6935233,8307876,9492693,6092662,10367889
Syria,3471618,4449966,22548414,37805043,27800921,38832926,11489357,31896079,19791455,9975978
Grenada,5533534,7468572,8948438,6446692,90358083,6993522,9570664,8269353,12735790,9710802
Saint Kitts and Nevis,6625982,6214862,8795819,6946912,8829972,5660190,5156518,7744332,6820940,9709317
Saint Vincent and the Grenadines,7613508,5401603,4610661,4057122,4183910,5636601,7276894,8564596,6573199,9281173
Madagascar,23230854,11395203,16097445,16434190,18004081,11265901,10993899,24729482,16794169,8650469
Antigua and Barbuda,10202848,9111238,8587625,12389873,13206721,6971368,29746114,11008798,5971945,8101423
Azerbaijan,14220856,12963018,14389312,11443876,10498936,7806531,5170142,5938534,10544891,8058311
Aruba,9407432,14628965,9573290,12630664,7803768,4095121,3371492,6784083,7807741,7317788
Tajikistan,14715143,4434483,2901890,4264612,2170815,3123857,940108,501861,939859,6950529
Somalia,1348309,2279698,6176927,8156185,2509828,2632497,3071150,2630752,3037128,6690907
Gambia,801925,1328945,6500124,1956547,3027228,3013740,4895897,3082635,6683840,6561697
Brunei Darussalam,2894678,12022674,3073464,6340758,5274519,6958960,7732101,8335682,7465119,6506805
Zimbabwe,5500987,11190509,12901149,11947198,4863920,2687973,8444141,5523673,5653107,6315700
Yemen,6502989,5655950,5747148,16337038,11343607,8502516,6941666,5444812,6938948,6014837
Sint Maarten,8002955,9996983,5395996,5949392,5551636,3776451,4091871,4848861,4971860,5889721
