"Title","Canadian imports"
"Products","I - live animals and animal productS"
"","II - VEGETABLE PRODUCTS"
"","III - FATS, OILS, THEIR CLEAVAGE PRODUCTS AND WAXES"
"","IV - FOOD PRODUCTS, BEVERAGES, SPIRITS, VINEGAR AND TOBACCO PRODUCTS"
"","V - MINERAL PRODUCTS"
"","VI - PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES"
"","VII - PLASTICS, RUBBER AND ARTICLES MADE FROM THESE MATERIALS"
"","VIII - RAW HIDES, SKINS, LEATHER, FUR AND ARTICLES MADE FROM THESE MATERIALS"
"","IX - WOOD AND WOOD ARTICLES, CORK, STRAW AND OTHER PLAITING MATERIALS"
"","X - WOOD PULP, PAPER AND PAPER ARTICLES"
"","XI - TEXTILES AND TEXTILE ARTICLES"
"","XII - FOOTWEAR, HEADWEAR, UMBRELLAS, CANES AND SIMILAR ACCESSORIES"
"","XIII - GLASS, GLASSWARE;  ARTICLES OF CERAMICS, STONE AND SIMILAR MATERIALS"
"","XIV - PEARLS, PRECIOUS METALS OR STONES, COINS AND JEWELLERY"
"","XV - BASE METALS AND ARTICLES OF BASE METAL"
"","XVI - MACHINERY;  MECHANICAL,  ELECTRICAL AND ELECTRONIC APPLIANCES OR EQUIPMENT"
"","XVII - VEHICLES, AIRCRAFT, VESSELS AND OTHER TRANSPORTATION EQUIPMENT"
"","XVIII - CLOCKS, WATCHES AND SPECIALIZED INSTRUMENTATION"
"","XIX - ARMS AND AMMUNITION"
"","XX - MISCELLANEOUS MANUFACTURED ARTICLES"
"","XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES"
"","HS 98 - Special classification provisions - non commercial"
"","HS 99 - Special classification provisions - commercial"
"Origin","All countries (detailed)"
"Destination","Canada"
"Period","Latest 10 years"
"Units","Value in  canadian dollars"

"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Cameroon","7020474","9721163","9062132","9484292","17502609","12821248","11824912","19216201","16443994","30547122"
"Cuba","27856269","25257569","28492046","35224064","34885243","24177870","30015714","23230678","38681662","29307021"
"Tanzania","12424120","13682223","13907286","18603071","25376919","38470802","23797506","26623268","20597130","29289144"
"Togo","24600009","1959776","1537218","1429023","1576539","1892903","13786569","100775320","50927365","21370663"
"North Macedonia","13016370","13741774","11205092","31727103","27292712","17284237","13067135","14631616","19040619","19744744"
"Albania","8292058","8549760","12620337","12304111","14281807","10137074","12799008","22070506","21520420","19677365"
"Faeroe Islands","9530302","6857011","6324676","13155396","4468992","5024828","12841960","32528297","13370787","19675281"
"Barbados","11297192","11789461","12581745","14196156","14844236","15483417","18887306","23102881","23320932","19258236"
"Equatorial Guinea","20739","54197547","42137924","5880","2677760","3978155","16992733","122032732","21042266","19216331"
"Liberia","40600503","39875990","35919529","31017734","31862861","24479443","28355846","32013510","37287654","19114569"
"Turkmenistan","2073018","389425","201194","132555","483744","12460138","818530","676191","44050504","18661785"
"Uganda","9395314","8664697","15140840","11551855","20018945","14767301","17886784","32587452","32141652","16626109"
"Nepal","14230185","14104377","13187122","13676746","13929549","10935683","12485021","15672979","14992139","16067699"
"Papua New Guinea","3231060","3625753","3823928","5295679","8524670","6718169","3204174","4187703","4600363","15646592"
"Panama","10986322","7856174","10544457","7400291","9582484","15339877","19277434","198438870","27486580","14596877"
"Mauritius","24291444","19246711","17519210","22849546","16300590","11005648","16021240","25277240","24091452","14582784"
"Bahamas","35787881","13625767","12879932","4833583","19265796","8021052","11089035","12202618","11016471","14565575"
"Lesotho","7059321","7755474","9435243","9380525","7420321","8679012","10347111","10982588","10855594","13604773"
"Cyprus","3911591","3900391","2968058","4217097","4666542","3300226","6478362","6114574","13357184","13422255"
"Azerbaijan","446749420","134871072","1320145485","1089066374","273751581","883480","378425550","25759214","2241219","13079694"
"Afghanistan","2986065","3987916","3645735","4735390","4908813","5237633","8921315","9306075","11294454","12792859"
"Macau (Macao)","5909993","5895596","7214210","5925100","6214144","16216869","9491671","13246428","9324221","9673089"
"Armenia","142759275","187599425","26022831","24561138","97577182","16627110","11279378","12622882","9122337","8344699"
"Mozambique","905705","3779653","2248336","6117602","10975471","32044324","40596104","31697164","29766974","8328335"
"Mali","884630","1207947","2259892","2170757","2871994","3138956","5057313","3899583","5777861","7375936"
"Botswana","1985492","2150857","1111892","639688","6233543","8468897","7141691","10361363","3752933","7370562"
"U.S. Minor Outlying Islands","4863266","3626298","4333296","4144214","33459241","2109899","2337369","2615121","8194969","6924348"
"Zimbabwe","2243478","2381521","15016144","5126088","8864111","8504973","9737959","10560344","10240656","6361669"
"Senegal","8389829","6238178","3285572","3654521","5237955","6835746","4940757","6091877","7127725","6296297"
"Fiji","6118346","6209227","8289715","7077782","7524761","6470058","7431290","8297362","8470422","5904870"
"Saint Pierre-Miquelon","2170173","1979739","2332616","6409386","8197630","6280513","9551584","9087012","3649931","4274008"
